FRAGMENT	FPFMIN	FPSMIN	FPFMAX	FPSMAX	FPFAVG	FPSAVG
KTFIIPGBMUUNEO-UHFFFAOYSA-N~P08953	0.00	0.00	1.00	1.00	0.67	0.31
MPCAJMNYNOGXPB-UHFFFAOYSA-N~P08953	0.00	0.00	1.00	1.00	0.60	0.60
VCYYRDKGHLOTQU-UHFFFAOYSA-N~P08953	1.00	0.00	1.00	1.00	1.00	0.50
SQOXZSRJWWMMCL-UHFFFAOYSA-N~P08953	0.00	0.00	1.00	1.00	0.67	0.31
RBOFGEFNFKNYQR-UHFFFAOYSA-N~P08953	1.00	0.00	1.00	0.00	1.00	0.00
OAKURXIZZOAYBC-UHFFFAOYSA-N~P08953	0.10	0.00	0.10	0.00	0.10	0.00
DYBAQWLAKFCVBP-UHFFFAOYSA-N~P08953	0.00	0.00	0.00	0.00	0.00	0.00
WSMYVTOQOOLQHP-UHFFFAOYSA-N~P08953	0.25	0.00	0.25	0.00	0.25	0.00
PMMURAAUARKVCB-UHFFFAOYSA-N~Q8GSD2	0.00	0.00	1.00	1.00	0.25	0.26
RAXXELZNTBOGNW-UHFFFAOYSA-N~Q9AMP1	0.00	0.00	0.00	0.00	0.00	0.00
PAYRUJLWNCNPSJ-UHFFFAOYSA-N~O43353	0.33	0.50	0.33	0.50	0.33	0.50
XOBKSJJDNFUZPF-UHFFFAOYSA-N~O43353	1.00	1.00	1.00	1.00	1.00	1.00
IKHGUXGNUITLKF-UHFFFAOYSA-N~H9TUK5	0.00	0.00	1.00	1.00	0.60	0.10
GFFGJBXGBJISGV-UHFFFAOYSA-N~O43353	1.00	0.50	1.00	0.50	1.00	0.50
HNPYBPXXPMVWIY-UHFFFAOYSA-N~Q02750	0.44	0.50	0.65	0.83	0.56	0.67
ISAKRJDGNUQOIC-UHFFFAOYSA-N~P15468	0.00	0.00	0.33	0.67	0.10	0.21
XYUAXZDQSDTCHO-UHFFFAOYSA-N~Q9HU22	0.11	0.14	1.00	1.00	0.45	0.61
GFFGJBXGBJISGV-UHFFFAOYSA-N~Q5SM60	0.43	0.50	0.86	0.83	0.61	0.70
PCSMJKASWLYICJ-UHFFFAOYSA-N~P00749	0.00	0.00	1.00	1.00	0.15	0.12
UIUJIQZEACWQSV-UHFFFAOYSA-N~P00749	0.00	0.00	1.00	1.00	0.16	0.14
VBDHNUHBSKNOMC-UHFFFAOYSA-N~Q5SM60	0.00	0.50	1.00	1.00	0.33	0.67
GFFGJBXGBJISGV-UHFFFAOYSA-N~A1L1Q4	0.67	0.83	0.67	0.83	0.67	0.83
VTERBIYJBWDXDT-UHFFFAOYSA-N~P05042	0.00	0.00	1.00	1.00	0.50	0.56
BVOBPNSQIRMLCA-UHFFFAOYSA-N~Q38CF2	0.14	0.33	1.00	1.00	0.45	0.58
RWQNBRDOKXIBIV-UHFFFAOYSA-N~Q38CF2	0.62	0.71	1.00	1.00	0.80	0.91
QRTDTRCGZCHEER-UHFFFAOYSA-N~P05042	0.20	0.40	1.00	1.00	0.51	0.72
LFQSCWFLJHTTHZ-UHFFFAOYSA-N~P0A5S5	1.00	1.00	1.00	1.00	1.00	1.00
QWHDXIUUXWGQME-UHFFFAOYSA-N~P05042	0.22	0.33	1.00	1.00	0.64	0.70
QCHXLHKARBTJRC-UHFFFAOYSA-N~P05042	0.00	0.20	1.00	1.00	0.34	0.51
PKRTWUQHAOJXBO-UHFFFAOYSA-N~P05042	0.20	0.20	0.80	1.00	0.49	0.59
DDUSNKBPSZMAGI-UHFFFAOYSA-N~P52700	1.00	1.00	1.00	1.00	1.00	1.00
DOMXBIBBBIULRS-UHFFFAOYSA-N~P05042	0.17	0.40	1.00	1.00	0.44	0.68
DNBQUYKFBGNUDG-UHFFFAOYSA-N~P52700	1.00	1.00	1.00	1.00	1.00	1.00
YTPLMLYBLZKORZ-UHFFFAOYSA-N~P09960	0.00	0.00	0.67	0.25	0.25	0.07
NZYHOIVONUQSLS-UHFFFAOYSA-N~P35961	0.00	0.00	1.00	1.00	0.78	0.60
SUEDKWBZGMCBTL-UHFFFAOYSA-N~P35961	0.00	0.00	1.00	1.00	0.67	0.27
SQOXZSRJWWMMCL-UHFFFAOYSA-N~P39905	1.00	1.00	1.00	1.00	1.00	1.00
NSMOSDAEGJTOIQ-UHFFFAOYSA-N~Q38CF2	0.11	0.40	0.38	0.80	0.20	0.57
ISWSIDIOOBJBQZ-UHFFFAOYSA-N~P09960	0.29	0.12	0.29	0.12	0.29	0.12
RAIPHJJURHTUIC-UHFFFAOYSA-N~P09960	0.00	0.33	0.00	0.33	0.00	0.33
KTFIIPGBMUUNEO-UHFFFAOYSA-N~P39905	1.00	1.00	1.00	1.00	1.00	1.00
VCYYRDKGHLOTQU-UHFFFAOYSA-N~P39905	1.00	1.00	1.00	1.00	1.00	1.00
XLSCZYCIURNRFH-UHFFFAOYSA-N~P08810	1.00	0.00	1.00	1.00	1.00	0.52
IKHGUXGNUITLKF-UHFFFAOYSA-N~P08810	1.00	1.00	1.00	1.00	1.00	1.00
MPCAJMNYNOGXPB-UHFFFAOYSA-N~P08810	1.00	1.00	1.00	1.00	1.00	1.00
WXYQMZWCFSAKTA-UHFFFAOYSA-N~P08810	0.00	0.00	1.00	1.00	0.71	0.14
RBOFGEFNFKNYQR-UHFFFAOYSA-N~P08810	1.00	1.00	1.00	1.00	1.00	1.00
QFHKFGOUFKUPNX-UHFFFAOYSA-N~P08810	1.00	1.00	1.00	1.00	1.00	1.00
KBVSUNBCTPQWJL-UHFFFAOYSA-N~P08810	1.00	0.00	1.00	1.00	1.00	0.64
PZLPHPNLSOFQMW-UHFFFAOYSA-N~P08810	1.00	1.00	1.00	1.00	1.00	1.00
NZYHOIVONUQSLS-UHFFFAOYSA-N~P08810	1.00	1.00	1.00	1.00	1.00	1.00
SQOXZSRJWWMMCL-UHFFFAOYSA-N~A0A023H437	1.00	1.00	1.00	1.00	1.00	1.00
DYBAQWLAKFCVBP-UHFFFAOYSA-N~A0A023H437	1.00	1.00	1.00	1.00	1.00	1.00
MPCAJMNYNOGXPB-UHFFFAOYSA-N~A0A023H437	1.00	1.00	1.00	1.00	1.00	1.00
ATUOYWHBWRKTHZ-UHFFFAOYSA-N~A0A023H437	1.00	0.00	1.00	0.00	1.00	0.00
RBOFGEFNFKNYQR-UHFFFAOYSA-N~A0A023H437	1.00	1.00	1.00	1.00	1.00	1.00
IKHGUXGNUITLKF-UHFFFAOYSA-N~A0A023H437	0.00	0.00	1.00	1.00	0.71	0.29
MXRBVRXQDKNIBH-UHFFFAOYSA-N~P08810	1.00	0.00	1.00	1.00	1.00	0.33
KTFIIPGBMUUNEO-UHFFFAOYSA-N~A0A023H437	1.00	0.00	1.00	1.00	1.00	0.52
KFZMGEQAYNKOFK-UHFFFAOYSA-N~A0A023H437	1.00	0.00	1.00	0.00	1.00	0.00
IKHGUXGNUITLKF-UHFFFAOYSA-N~P15559	0.00	0.00	0.33	0.50	0.06	0.22
MXRBVRXQDKNIBH-UHFFFAOYSA-N~A0A023H437	0.00	0.00	1.00	1.00	0.33	0.33
KEIVLHIFSZBKGU-UHFFFAOYSA-N~P00749	1.00	1.00	1.00	1.00	1.00	1.00
YNAVUWVOSKDBBP-UHFFFAOYSA-N~Q8EP31	1.00	1.00	1.00	1.00	1.00	1.00
PIWMSRFXAJSGLP-UHFFFAOYSA-N~C6XZB6	0.00	0.25	0.60	1.00	0.26	0.51
XTXSRNPFTNSIFY-UHFFFAOYSA-N~Q8EP31	0.60	0.83	0.60	0.83	0.60	0.83
ZNGHBKAYFIORHP-UHFFFAOYSA-N~C6XZB6	1.00	0.00	1.00	1.00	1.00	0.60
ZOFRRNUENOHELM-UHFFFAOYSA-N~P09960	0.00	0.50	1.00	1.00	0.33	0.67
MPCAJMNYNOGXPB-UHFFFAOYSA-N~A0A1A9TAF4	0.00	0.00	1.00	1.00	0.09	0.17
RWUSSVGNCBRGQP-UHFFFAOYSA-N~P09960	0.45	0.62	0.73	1.00	0.62	0.81
KBVSUNBCTPQWJL-UHFFFAOYSA-N~C6XZB6	1.00	0.00	1.00	1.00	1.00	0.60
IKHGUXGNUITLKF-UHFFFAOYSA-N~Q13426	0.00	0.00	1.00	1.00	0.50	0.21
HDEMQQHXNOJATE-UHFFFAOYSA-N~A0A1A9TAF4	0.00	0.00	1.00	1.00	0.20	0.17
ROHFNLRQFUQHCH-UHFFFAOYSA-N~P09960	0.00	0.50	1.00	1.00	0.33	0.67
IKHGUXGNUITLKF-UHFFFAOYSA-N~Q2SJA2	0.00	0.00	1.00	0.33	0.50	0.06
POHLHDSBJAEFFB-UHFFFAOYSA-N~A0A1A9TAF4	0.00	0.00	1.00	1.00	0.40	0.17
HFJRKMMYBMWEAD-UHFFFAOYSA-N~B4EKM5	0.44	0.50	0.67	0.80	0.59	0.66
LFQSCWFLJHTTHZ-UHFFFAOYSA-N~B4EKM5	1.00	1.00	1.00	1.00	1.00	1.00
XOBKSJJDNFUZPF-UHFFFAOYSA-N~B4EKM5	1.00	1.00	1.00	1.00	1.00	1.00
GFFGJBXGBJISGV-UHFFFAOYSA-N~Q6WRY5	0.86	0.80	0.86	0.80	0.86	0.80
HNPYBPXXPMVWIY-UHFFFAOYSA-N~Q6WRY5	0.39	0.44	0.39	0.44	0.39	0.44
SRLQRYLPGNFEAI-UHFFFAOYSA-N~Q9HU22	0.17	0.50	0.17	0.50	0.17	0.50
IVSZLXZYQVIEFR-UHFFFAOYSA-N~Q9HU22	1.00	1.00	1.00	1.00	1.00	1.00
WPGDIKSWKZLNRR-UHFFFAOYSA-N~Q9UGL1	0.44	0.43	0.50	0.44	0.47	0.44
QCKVEJNIUWLVTP-UHFFFAOYSA-N~Q9UGL1	0.12	0.14	0.33	0.67	0.22	0.37
YHFJHVOMMPDGIQ-UHFFFAOYSA-N~Q9HU22	0.17	0.50	0.17	0.50	0.17	0.50
SJRJJKPEHAURKC-UHFFFAOYSA-N~Q9HU22	1.00	1.00	1.00	1.00	1.00	1.00
KBVSUNBCTPQWJL-UHFFFAOYSA-N~P24158	0.25	0.67	0.55	1.00	0.39	0.79
XLSCZYCIURNRFH-UHFFFAOYSA-N~P24158	0.25	0.67	0.55	1.00	0.39	0.79
IKHGUXGNUITLKF-UHFFFAOYSA-N~P24158	1.00	1.00	1.00	1.00	1.00	1.00
WXYQMZWCFSAKTA-UHFFFAOYSA-N~P24158	1.00	1.00	1.00	1.00	1.00	1.00
HUMNYLRZRPPJDN-UHFFFAOYSA-N~A5H660	0.20	0.67	0.50	1.00	0.32	0.83
DHMQDGOQFOQNFH-UHFFFAOYSA-N~P52700	0.00	0.50	0.00	0.50	0.00	0.50
LYIIBVSRGJSHAV-UHFFFAOYSA-N~P52700	1.00	1.00	1.00	1.00	1.00	1.00
PAYRUJLWNCNPSJ-UHFFFAOYSA-N~P36897	0.00	0.20	1.00	1.00	0.33	0.47
ZUKPVRWZDMRIEO-UHFFFAOYSA-N~P52700	0.50	0.60	0.50	0.60	0.50	0.60
WVDDGKGOMKODPV-UHFFFAOYSA-N~P52700	0.00	0.50	0.00	0.50	0.00	0.50
MDHFEQWZBNXIPB-UHFFFAOYSA-N~P52700	0.50	0.50	0.50	0.50	0.50	0.50
BOTPEONKTLJMSH-UHFFFAOYSA-N~P52700	1.00	1.00	1.00	1.00	1.00	1.00
UYWQUFXKFGHYNT-UHFFFAOYSA-N~P52700	0.00	0.50	0.00	0.50	0.00	0.50
BARWEEKFEVZDLU-UHFFFAOYSA-N~C6XZB6	1.00	0.00	1.00	0.00	1.00	0.00
SQLLXEOTEABINO-UHFFFAOYSA-N~C6XZB6	0.47	0.57	0.47	0.57	0.47	0.57
IRTONBQROPNEJZ-UHFFFAOYSA-N~C6XZB6	0.56	0.67	0.56	0.67	0.56	0.67
IKHGUXGNUITLKF-UHFFFAOYSA-N~B7M3W6	1.00	1.00	1.00	1.00	1.00	1.00
KTNWAMQWNRBPPR-UHFFFAOYSA-N~C6XZB6	0.64	0.71	0.64	0.71	0.64	0.71
GFFGJBXGBJISGV-UHFFFAOYSA-N~B7M3W6	0.64	0.56	0.64	0.56	0.64	0.56
IJDNQMDRQITEOD-UHFFFAOYSA-N~P80484	1.00	0.00	1.00	1.00	1.00	0.33
LYIIBVSRGJSHAV-UHFFFAOYSA-N~A0A173M0G2	0.00	0.50	0.00	0.50	0.00	0.50
RYPKRALMXUUNKS-UHFFFAOYSA-N~P80484	1.00	1.00	1.00	1.00	1.00	1.00
SZLUCSLGWGPNDR-UHFFFAOYSA-N~P80484	1.00	0.00	1.00	0.00	1.00	0.00
LYIIBVSRGJSHAV-UHFFFAOYSA-N~A0A173M094	0.00	0.00	0.00	0.00	0.00	0.00
GFFGJBXGBJISGV-UHFFFAOYSA-N~O51933	0.00	0.00	1.00	1.00	0.34	0.36
BIWRLNLHQRIBOB-UHFFFAOYSA-N~Q9STC1	0.00	0.00	0.50	0.67	0.04	0.16
HDEMQQHXNOJATE-UHFFFAOYSA-N~Q9STC1	0.13	0.00	0.50	0.75	0.30	0.21
DGTCAQILTSGIAR-UHFFFAOYSA-N~Q9STC1	0.17	0.09	0.17	0.09	0.17	0.09
UHRYFTCCBVBIOW-UHFFFAOYSA-N~Q9STC1	0.00	0.33	1.00	1.00	0.25	0.50
POHLHDSBJAEFFB-UHFFFAOYSA-N~Q9STC1	0.09	0.12	0.31	0.40	0.19	0.30
NJQRAAHKQQPUIT-UHFFFAOYSA-N~O51933	0.00	0.17	1.00	1.00	0.36	0.48
AVPYQKSLYISFPO-UHFFFAOYSA-N~P69905	0.00	0.00	0.00	0.00	0.00	0.00
HSWSNXXNDSZDNQ-UHFFFAOYSA-N~Q9STC1	0.25	0.00	0.47	0.55	0.35	0.20
RTZKZFJDLAIYFH-UHFFFAOYSA-N~Q9HWW1	0.00	0.00	1.00	1.00	0.33	0.33
TVMXDCGIABBOFY-UHFFFAOYSA-N~Q9HWW1	0.00	0.00	0.00	0.00	0.00	0.00
BHHGXPLMPWCGHP-UHFFFAOYSA-N~P69905	1.00	0.00	1.00	0.00	1.00	0.00
AMIMRNSIRUDHCM-UHFFFAOYSA-N~P69905	0.00	0.00	1.00	1.00	0.26	0.12
NBIIXXVUZAFLBC-UHFFFAOYSA-N~Q0TAA1	0.20	0.40	0.20	0.40	0.20	0.40
MMJHKIXHSZUEAK-UHFFFAOYSA-N~R4QPW9	0.38	0.36	0.38	0.36	0.38	0.36
NRFXYZPBBCMBFH-UHFFFAOYSA-N~Q0TAA1	0.42	0.27	0.88	0.70	0.62	0.46
QJYRUYURLPTHLR-UHFFFAOYSA-N~A0A173M0G2	0.29	0.38	0.29	0.38	0.29	0.38
BCPSFKBPHHBDAI-UHFFFAOYSA-N~Q0TAA1	0.41	0.36	0.80	0.69	0.62	0.50
POHLHDSBJAEFFB-UHFFFAOYSA-N~B3Y002	0.00	0.00	1.00	1.00	0.33	0.33
JYGFTBXVXVMTGB-UHFFFAOYSA-N~P07949	0.82	0.83	0.82	0.83	0.82	0.83
KABXUUFDPUOJMW-UHFFFAOYSA-N~Q0TAA1	0.38	0.33	0.74	0.60	0.55	0.45
JWEZZFQTYSYUAW-UHFFFAOYSA-N~Q0TAA1	0.40	0.22	0.75	0.71	0.56	0.40
HXSWVNVCPFBXBF-UHFFFAOYSA-N~nan	0.62	0.37	0.86	0.93	0.74	0.63
FAYGHIHBKVQGDC-UHFFFAOYSA-N~A0A173M0G2	0.09	0.29	0.09	0.29	0.09	0.29
JFCQEDHGNNZCLN-UHFFFAOYSA-N~P00509	0.00	0.40	0.50	1.00	0.18	0.52
FAYGHIHBKVQGDC-UHFFFAOYSA-N~A0A173M094	0.12	0.00	0.12	0.00	0.12	0.00
QPMCUNAXNMSGTK-UHFFFAOYSA-N~A0A173M0G2	0.17	0.20	0.17	0.20	0.17	0.20
QPMCUNAXNMSGTK-UHFFFAOYSA-N~A0A173M094	0.33	0.00	0.33	0.00	0.33	0.00
LFQSCWFLJHTTHZ-UHFFFAOYSA-N~P23807	1.00	0.00	1.00	0.00	1.00	0.00
XXJWXESWEXIICW-UHFFFAOYSA-N~P23807	0.00	0.50	0.00	0.50	0.00	0.50
RTZKZFJDLAIYFH-UHFFFAOYSA-N~P23807	1.00	0.00	1.00	0.00	1.00	0.00
LFQSCWFLJHTTHZ-UHFFFAOYSA-N~A7EWX9	1.00	1.00	1.00	1.00	1.00	1.00
ZNQVEEAIQZEUHB-UHFFFAOYSA-N~P23807	1.00	0.00	1.00	0.00	1.00	0.00
UHOVQNZJYSORNB-UHFFFAOYSA-N~Q04760	1.00	1.00	1.00	1.00	1.00	1.00
MPUUQNGXJSEWTF-UHFFFAOYSA-N~A0A173M0G2	0.25	0.40	0.25	0.40	0.25	0.40
KABXUUFDPUOJMW-UHFFFAOYSA-N~A0A173M0G2	0.36	0.29	0.36	0.29	0.36	0.29
KABXUUFDPUOJMW-UHFFFAOYSA-N~A0A173M094	0.33	0.43	0.33	0.43	0.33	0.43
JWEZZFQTYSYUAW-UHFFFAOYSA-N~A0A173M0G2	0.25	0.40	0.25	0.40	0.25	0.40
HHLFWLYXYJOTON-UHFFFAOYSA-N~E3USM3	0.12	0.67	1.00	1.00	0.51	0.85
MPUUQNGXJSEWTF-UHFFFAOYSA-N~A0A173M094	0.20	0.50	0.20	0.50	0.20	0.50
JWEZZFQTYSYUAW-UHFFFAOYSA-N~A0A173M094	0.17	0.40	0.17	0.40	0.17	0.40
LEQAOMBKQFMDFZ-UHFFFAOYSA-N~E3USM3	0.25	0.50	1.00	1.00	0.70	0.73
PAYRUJLWNCNPSJ-UHFFFAOYSA-N~E3USM3	0.00	0.20	0.75	0.80	0.20	0.54
SFTGRPFSYZGXQW-UHFFFAOYSA-N~P80484	1.00	0.00	1.00	1.00	1.00	0.27
YHQXBTXEYZIYOV-UHFFFAOYSA-N~P80484	1.00	0.00	1.00	1.00	1.00	0.47
IKHGUXGNUITLKF-UHFFFAOYSA-N~Q9STC1	0.00	0.00	1.00	1.00	0.21	0.08
NNPPMTNAJDCUHE-UHFFFAOYSA-N~P80484	1.00	0.00	1.00	1.00	1.00	0.22
LGAQJENWWYGFSN-UHFFFAOYSA-N~P80484	0.00	0.00	1.00	1.00	0.57	0.11
HXKKHQJGJAFBHI-UHFFFAOYSA-N~P37028	0.00	0.00	1.00	1.00	0.67	0.23
UYTPUPDQBNUYGX-UHFFFAOYSA-N~A0A140SCF9	0.45	0.86	0.45	0.86	0.45	0.86
DZQLQEYLEYWJIB-UHFFFAOYSA-N~P86352	0.06	0.11	0.06	0.11	0.06	0.11
IKHGUXGNUITLKF-UHFFFAOYSA-N~Q969Q1	0.00	0.00	1.00	1.00	0.78	0.42
XYUAXZDQSDTCHO-UHFFFAOYSA-N~Q7TVI1	0.45	0.12	0.86	1.00	0.60	0.41
SYNQCHHUCDDFHE-UHFFFAOYSA-N~Q6WY08	0.00	0.33	1.00	1.00	0.44	0.75
IKHGUXGNUITLKF-UHFFFAOYSA-N~Q6WY08	1.00	0.00	1.00	1.00	1.00	0.80
UQFQONCQIQEYPJ-UHFFFAOYSA-N~O60885	1.00	1.00	1.00	1.00	1.00	1.00
XPFZSQWNBYCQMP-UHFFFAOYSA-N~Q6WY08	0.00	0.25	1.00	1.00	0.31	0.57
LFQSCWFLJHTTHZ-UHFFFAOYSA-N~P11562	1.00	1.00	1.00	1.00	1.00	1.00
LQNUZADURLCDLV-UHFFFAOYSA-N~Q6WY08	1.00	1.00	1.00	1.00	1.00	1.00
QSCHYPYWYAZFRV-UHFFFAOYSA-N~nan	0.25	0.38	0.25	0.38	0.25	0.38
OTJJNWBQVNEVKU-UHFFFAOYSA-N~nan	0.17	0.17	0.17	0.17	0.17	0.17
HUMNYLRZRPPJDN-UHFFFAOYSA-N~Q7TVI1	1.00	1.00	1.00	1.00	1.00	1.00
IKHGUXGNUITLKF-UHFFFAOYSA-N~P11562	0.00	0.00	0.00	0.50	0.00	0.17
HNPYBPXXPMVWIY-UHFFFAOYSA-N~P28066	0.56	0.21	0.56	0.21	0.56	0.21
GFFGJBXGBJISGV-UHFFFAOYSA-N~P28066	0.00	0.00	0.00	0.00	0.00	0.00
GFFGJBXGBJISGV-UHFFFAOYSA-N~O14818	0.00	0.00	0.00	0.00	0.00	0.00
LYCAIKOWRPUZTN-UHFFFAOYSA-N~P02462	0.00	0.00	1.00	1.00	0.57	0.07
DTFBNRSDTSZOAO-UHFFFAOYSA-N~Q6WY08	0.50	1.00	0.50	1.00	0.50	1.00
WHKXNWSUYDTVJK-UHFFFAOYSA-N~Q6WY08	0.00	0.00	1.00	1.00	0.47	0.47
SOSNZLGVKIPOSH-UHFFFAOYSA-N~Q6WY08	0.00	0.00	1.00	1.00	0.43	0.43
SOCMOTOHJWIJEQ-UHFFFAOYSA-N~Q6WY08	1.00	1.00	1.00	1.00	1.00	1.00
JVWDWSZRPWGRNI-UHFFFAOYSA-N~Q6WY08	0.00	0.00	1.00	1.00	0.47	0.47
BJCLOXWGWKEQQW-UHFFFAOYSA-N~Q6WY08	0.00	0.00	1.00	1.00	0.43	0.43
VVDIZWFSGJERMA-UHFFFAOYSA-N~P11142	1.00	0.00	1.00	1.00	1.00	0.33
GFFGJBXGBJISGV-UHFFFAOYSA-N~Q582G4	0.33	0.50	0.80	1.00	0.55	0.70
FFMZJRIUKRMUJN-UHFFFAOYSA-N~Q582G4	0.07	0.20	0.57	0.60	0.30	0.39
GBAZJASSZQPDFT-UHFFFAOYSA-N~D6D1V7	0.20	0.67	0.20	0.67	0.20	0.67
IQLMNJFYNWPSST-UHFFFAOYSA-N~Q582G4	0.00	0.11	0.62	0.43	0.21	0.25
LFQSCWFLJHTTHZ-UHFFFAOYSA-N~Q6WY08	1.00	0.00	1.00	1.00	1.00	0.50
DNIAPMSPPWPWGF-UHFFFAOYSA-N~Q3J1A6	0.00	0.00	0.00	0.00	0.00	0.00
KFZMGEQAYNKOFK-UHFFFAOYSA-N~Q3J1A6	0.00	0.00	0.00	0.00	0.00	0.00
HSZMERICBSXRFD-UHFFFAOYSA-N~A8ALE9	0.00	0.20	0.75	1.00	0.27	0.46
DZHHXMZCVDTUBX-UHFFFAOYSA-N~Q96C86	0.21	0.40	1.00	1.00	0.49	0.71
BDERNNFJNOPAEC-UHFFFAOYSA-N~Q3J1A6	0.00	0.00	0.00	0.00	0.00	0.00
NJQRAAHKQQPUIT-UHFFFAOYSA-N~Q9BKE2	0.12	0.75	1.00	1.00	0.35	0.83
NZYHOIVONUQSLS-UHFFFAOYSA-N~Q3J1A6	1.00	1.00	1.00	1.00	1.00	1.00
HGINCPLSRVDWNT-UHFFFAOYSA-N~Q7TYQ1	1.00	1.00	1.00	1.00	1.00	1.00
GFFGJBXGBJISGV-UHFFFAOYSA-N~Q9BKE2	0.20	0.67	0.75	1.00	0.46	0.83
UYTPUPDQBNUYGX-UHFFFAOYSA-N~Q96C86	0.61	0.83	0.61	0.83	0.61	0.83
KSMVZQYAVGTKIV-UHFFFAOYSA-N~E0YCS2	0.15	0.08	0.67	0.71	0.32	0.28
GFFGJBXGBJISGV-UHFFFAOYSA-N~Q96C86	0.07	0.00	0.07	0.00	0.07	0.00
NIXOWILDQLNWCW-UHFFFAOYSA-N~Q7TYQ1	0.33	0.50	0.33	0.50	0.33	0.50
LYCAIKOWRPUZTN-UHFFFAOYSA-N~Q93X60	0.00	0.00	1.00	1.00	0.17	0.17
NIOYUNMRJMEDGI-UHFFFAOYSA-N~P07148	0.11	0.00	1.00	1.00	0.46	0.44
POHLHDSBJAEFFB-UHFFFAOYSA-N~C9YRY2	0.20	0.50	0.50	0.67	0.37	0.61
HNPYBPXXPMVWIY-UHFFFAOYSA-N~Q97W95	0.52	0.46	0.52	0.46	0.52	0.46
GFFGJBXGBJISGV-UHFFFAOYSA-N~Q97W95	0.33	0.40	0.67	0.75	0.51	0.57
MPCAJMNYNOGXPB-UHFFFAOYSA-N~C9YRY2	0.20	0.50	0.50	0.67	0.37	0.61
HDEMQQHXNOJATE-UHFFFAOYSA-N~C9YRY2	0.64	0.71	0.73	0.83	0.69	0.79
UYTPUPDQBNUYGX-UHFFFAOYSA-N~P57735	0.53	0.86	0.67	1.00	0.62	0.91
ABLZXFCXXLZCGV-UHFFFAOYSA-N~P57735	1.00	1.00	1.00	1.00	1.00	1.00
HHLFWLYXYJOTON-UHFFFAOYSA-N~Q2KDT2	0.00	0.40	0.00	0.40	0.00	0.40
CYZZKTRFOOKUMT-UHFFFAOYSA-N~Q97W95	0.79	0.36	0.79	0.36	0.79	0.36
UKDWXNRCKBVDNJ-UHFFFAOYSA-N~P57735	0.53	0.82	0.53	0.82	0.53	0.82
GFFGJBXGBJISGV-UHFFFAOYSA-N~Q2KDT2	0.00	0.00	1.00	1.00	0.50	0.50
LEQAOMBKQFMDFZ-UHFFFAOYSA-N~Q2KDT2	1.00	1.00	1.00	1.00	1.00	1.00
NJQRAAHKQQPUIT-UHFFFAOYSA-N~Q2KDT2	0.22	0.40	0.75	0.80	0.44	0.59
IKHGUXGNUITLKF-UHFFFAOYSA-N~Q6TGQ8	1.00	1.00	1.00	1.00	1.00	1.00
KBVSUNBCTPQWJL-UHFFFAOYSA-N~Q6TGQ8	1.00	0.00	1.00	0.00	1.00	0.00
MXRBVRXQDKNIBH-UHFFFAOYSA-N~Q6TGQ8	1.00	1.00	1.00	1.00	1.00	1.00
RBCOYOYDYNXAFA-UHFFFAOYSA-N~P32929	0.50	0.31	0.50	0.31	0.50	0.31
NJQRAAHKQQPUIT-UHFFFAOYSA-N~C0RKU3	0.20	0.20	0.20	0.20	0.20	0.20
GFFGJBXGBJISGV-UHFFFAOYSA-N~C0RKU3	0.83	0.80	0.83	0.80	0.83	0.80
XTXSRNPFTNSIFY-UHFFFAOYSA-N~Q59310	0.54	0.67	0.54	0.67	0.54	0.67
DXGAIOIQACHYRK-UHFFFAOYSA-N~P00952	0.19	0.22	0.77	0.71	0.43	0.46
ITQTTZVARXURQS-UHFFFAOYSA-N~Q8WSF8	0.00	0.00	1.00	1.00	0.18	0.34
XDTMQSROBMDMFD-UHFFFAOYSA-N~Q59310	0.80	1.00	0.80	1.00	0.80	1.00
ABLZXFCXXLZCGV-UHFFFAOYSA-N~Q39VU7	1.00	1.00	1.00	1.00	1.00	1.00
GFFGJBXGBJISGV-UHFFFAOYSA-N~Q39VU7	0.00	0.00	0.67	0.67	0.14	0.29
GFFGJBXGBJISGV-UHFFFAOYSA-N~Q73X99	0.67	0.75	1.00	1.00	0.78	0.83
NJQRAAHKQQPUIT-UHFFFAOYSA-N~Q73X99	0.50	1.00	1.00	1.00	0.75	1.00
RWRDLPDLKQPQOW-UHFFFAOYSA-N~Q7TZ13	1.00	0.00	1.00	1.00	1.00	0.70
IKHGUXGNUITLKF-UHFFFAOYSA-N~B9W5G6	0.00	0.00	1.00	1.00	0.60	0.60
KJPRLNWUNMBNBZ-UHFFFAOYSA-N~Q7TZ13	0.00	0.14	1.00	1.00	0.51	0.69
YXFVVABEGXRONW-UHFFFAOYSA-N~Q7TZ13	0.25	0.67	1.00	1.00	0.65	0.86
JTGKLBDOZYMAEA-UHFFFAOYSA-N~O14965	0.00	1.00	0.00	1.00	0.00	1.00
KAESVJOAVNADME-UHFFFAOYSA-N~Q7TZ13	1.00	1.00	1.00	1.00	1.00	1.00
IKHGUXGNUITLKF-UHFFFAOYSA-N~Q7TZ13	1.00	0.00	1.00	1.00	1.00	0.80
UHOVQNZJYSORNB-UHFFFAOYSA-N~P03072	0.00	0.00	1.00	1.00	0.50	0.33
KABXUUFDPUOJMW-UHFFFAOYSA-N~B9I0G5	0.40	0.38	0.50	0.80	0.44	0.54
